id,x3,x4,x5
332014,-0.067474902,0.150224944,0.219150504
468285,0.511282796,0.150224944,-0.144401648
370164,-0.430040648,0.150224944,-0.425536415
240775,0.511282796,0.150224944,0.219150504
41038,-0.839657211,0.150224944,-0.01152696
405687,0.511282796,0.150224944,0.219150504
171024,-0.067474902,0.150224944,0.219150504
515736,-0.839657211,-0.345113014,0.219150504
437262,-0.430040648,0.150224944,-0.01152696
47957,0.511282796,0.150224944,-0.144401648
470591,-0.067474902,0.150224944,-0.144401648
430763,-0.067474902,0.150224944,0.219150504
23412,-0.430040648,0.150224944,-0.144401648
124274,1.458713637,0.150224944,0.219150504
488004,-0.430040648,0.150224944,0.219150504
50853,0.511282796,-0.037140756,0.219150504
483380,0.511282796,-0.796413873,-0.144401648
70399,0.511282796,0.150224944,0.219150504
107205,-0.839657211,0.150224944,-0.144401648
446369,-0.839657211,0.150224944,-0.144401648
245608,-0.430040648,0.150224944,0.219150504
154614,1.458713637,0.150224944,0.219150504
29768,-0.067474902,0.150224944,-0.01152696
335303,-0.067474902,-0.037140756,-0.01152696
432438,0.511282796,0.150224944,0.219150504
59553,0.511282796,0.150224944,0.219150504
33046,1.458713637,0.150224944,-0.425536415
269702,0.511282796,0.150224944,0.219150504
316103,0.511282796,-0.037140756,0.219150504
412467,-0.430040648,-0.796413873,0.219150504
221853,1.458713637,0.150224944,-0.01152696
480,-0.067474902,0.150224944,0.219150504
439898,0.511282796,0.150224944,0.219150504
103360,1.458713637,0.150224944,0.219150504
339303,-0.430040648,0.150224944,-0.144401648
454198,0.511282796,0.150224944,-0.425536415
511034,-0.067474902,-0.037140756,0.219150504
125819,-0.067474902,0.150224944,0.219150504
62704,0.511282796,0.150224944,-0.01152696
375199,0.511282796,0.150224944,0.219150504
260424,0.511282796,-0.796413873,-0.144401648
180299,-0.839657211,-0.037140756,-0.425536415
372739,-0.839657211,0.150224944,-0.01152696
232393,1.458713637,0.150224944,-0.144401648
476714,-0.430040648,0.150224944,-0.144401648
309429,1.458713637,0.150224944,0.219150504
