id,y,x0,x1,x2
332014,0,0.647650703,0.593529486,0.341463213
468285,0,0.647650703,0.650544328,-0.122774067
370164,0,0.233103814,-0.301954758,0.341463213
240775,0,0.233103814,0.650544328,-0.122774067
41038,0,0.647650703,-0.301954758,0.341463213
405687,0,-1.26800475,0.650544328,-0.122774067
171024,0,1.132564967,0.650544328,0.341463213
515736,1,0.647650703,-0.301954758,0.341463213
437262,0,-0.382505046,-0.301954758,-0.122774067
47957,0,0.647650703,-0.301954758,-0.122774067
470591,0,0.647650703,-0.301954758,0.341463213
430763,0,0.647650703,0.593529486,-0.122774067
23412,0,1.132564967,0.650544328,0.341463213
124274,0,0.233103814,-0.301954758,-0.122774067
488004,1,0.647650703,0.101795266,0.341463213
50853,0,0.647650703,0.650544328,-0.122774067
483380,1,-1.26800475,0.650544328,-0.122774067
70399,0,-0.382505046,0.101795266,-0.122774067
107205,0,0.647650703,0.101795266,0.341463213
446369,0,1.132564967,0.593529486,-0.122774067
245608,0,-1.26800475,0.650544328,0.341463213
154614,0,-0.382505046,0.101795266,-0.122774067
29768,0,1.132564967,0.101795266,0.341463213
335303,0,0.233103814,-0.301954758,-0.122774067
432438,0,0.233103814,0.650544328,-0.122774067
59553,0,0.233103814,0.101795266,-0.122774067
33046,0,0.233103814,0.650544328,-0.122774067
269702,0,-1.26800475,0.593529486,-0.122774067
316103,0,-1.26800475,-0.301954758,-0.122774067
412467,0,-1.26800475,-0.301954758,-0.122774067
221853,0,0.647650703,-0.301954758,0.341463213
480,0,0.233103814,0.650544328,0.341463213
439898,0,1.132564967,0.593529486,0.341463213
103360,0,-1.26800475,0.101795266,-0.122774067
339303,0,0.233103814,-0.301954758,-0.122774067
454198,0,0.647650703,0.101795266,0.341463213
511034,1,-1.26800475,-0.301954758,-0.122774067
125819,0,0.647650703,-0.301954758,0.341463213
62704,0,0.233103814,0.101795266,-0.122774067
375199,0,-0.382505046,-0.301954758,-0.122774067
260424,0,1.132564967,0.101795266,0.341463213
180299,0,0.233103814,0.101795266,-1.39523488
372739,0,1.132564967,-0.301954758,0.341463213
232393,0,0.233103814,0.101795266,0.341463213
476714,1,0.233103814,0.101795266,-0.122774067
309429,0,0.647650703,-0.301954758,0.341463213
149824,0,-1.26800475,-0.301954758,-0.122774067
182888,0,0.647650703,0.101795266,0.341463213
